University Name,State,Degree (MS),Degree (Phd),Economics Ranking,Humanities Ranking,Science Ranking,Business Ranking,Computer Science Ranking,Art Management Ranking,Engineering ,Psychology
"Dickinson College - Carlisle, PA(Private)",PA,Master,2,44,122,>150,>150,>150,>150,>150,>150
Vanderbilt University(Private),TN,Master,1,51,133,>150,>150,>150,>150,146,>150
Colby College(Private),ME,Master,2,52,131,>150,>150,>150,>150,>150,>150
University of Missouri - Columbia(Out-of-State),MO,Master,1,63,>150,>150,>150,>150,>150,>150,>150
Purdue University - Main Campus(Out-of-State),IN,Master,1,64,>150,>150,>150,>150,>150,145,>150
Ohio University - Main Campus(In-State),OH,Master,1,73,>150,>150,>150,>150,>150,>150,>150
Arizona State University (ASU)(Out-of-State),AZ,Master,1,75,>150,>150,>150,147,>150,>150,>150
Eastern Illinois University(In-State),IL,Master,2,81,>150,>150,>150,>150,70,>150,>150
St. Cloud State University(In-State),MN,Master,1,82,>150,>150,>150,>150,133,>150,>150
Tufts University(Private),MA,Master,1,83,47,>150,>150,>150,>150,115,16
"University of St. Thomas - St Paul, MN(Private)",MN,Master,1,85,>150,>150,>150,>150,>150,>150,>150
Western Michigan University (WMU)(In-State),MI,Master,1,86,>150,>150,>150,>150,>150,>150,>150
Oregon State University (OSU) - Main Campus(In-State),OR,Master,1,89,>150,>150,>150,>150,125,>150,>150
University of New Hampshire (UNH) - Main Campus(In-State),NH,Master,1,94,>150,>150,>150,83,>150,>150,139
University of Nebraska - Lincoln(In-State),NE,Master,1,98,>150,>150,>150,>150,>150,>150,>150
Ohio University - Main Campus(Out-of-State),OH,Master,1,99,>150,>150,>150,>150,>150,>150,>150
CUNY - Queens College(Out-of-State),NY,Master,1,103,>150,>150,>150,>150,>150,>150,48
St. Cloud State University(Out-of-State),MN,Master,1,104,>150,>150,>150,>150,>150,>150,>150
St. Mary's College of Maryland(In-State),MD,Master,2,106,>150,>150,>150,>150,>150,>150,>150
University of Texas at Dallas(In-State),TX,Master,1,109,>150,>150,>150,40,>150,67,>150
William Smith College(Private),NY,Master,2,110,>150,>150,>150,>150,>150,>150,>150
California State University - Sacramento (CSUS)(Out-of-State),CA,Master,2,113,>150,>150,>150,>150,>150,>150,53
Florida State University (FSU)(In-State),FL,Master,1,117,>150,>150,>150,>150,>150,>150,>150
University of Michigan - Ann Arbor(Out-of-State),MI,Master,1,119,>150,>150,>150,>150,>150,>150,58
Syracuse University(Private),NY,Master,1,121,64,>150,>150,>150,27,>150,38
Wellesley College(Private),MA,Master,2,122,>150,>150,>150,>150,>150,>150,65
Eastern Illinois University(Out-of-State),IL,Master,2,123,>150,>150,>150,>150,>150,>150,>150
University of Cincinnati (UC)(In-State),OH,Master,1,127,>150,>150,>150,>150,4,>150,>150
Western Michigan University (WMU)(Out-of-State),MI,Master,1,128,>150,>150,>150,>150,>150,>150,>150
University of Massachusetts (UMass) - Amherst Campus(Out-of-State),MA,Master,1,130,>150,>150,>150,150,>150,137,>150
University of Texas at Arlington (UTA)(In-State),TX,Master,1,136,>150,>150,>150,>150,>150,126,>150
Oregon State University (OSU) - Main Campus(Out-of-State),OR,Master,1,137,>150,>150,>150,>150,>150,>150,>150
University of New Hampshire (UNH) - Main Campus(Out-of-State),NH,Master,1,138,>150,>150,>150,>150,>150,>150,>150
Colorado State University (CSU)(In-State),CO,Master,1,141,>150,>150,>150,139,57,>150,>150
University of Nebraska - Lincoln(Out-of-State),NE,Master,1,142,>150,>150,>150,>150,>150,>150,>150
North Carolina State University (NCSU)(Out-of-State),NC,Master,1,146,>150,>150,>150,>150,15,>150,>150
University of Wisconsin (UWM) - Milwaukee(In-State),WI,Master,1,149,>150,>150,>150,>150,>150,>150,122
St. Mary's College of Maryland(Out-of-State),MD,Master,2,150,>150,>150,>150,>150,>150,>150,>150
Yale University(Private),CT,Master,1,>150,2,>150,>150,133,>150,>150,2
Virginia Military Institute (VMI)(In-State),VA,Master,2,>150,4,>150,>150,>150,>150,>150,>150
Virginia Military Institute (VMI)(Out-of-State),VA,Master,2,>150,9,>150,>150,>150,>150,>150,>150
"Union College - Schenectady, NY(Private)",NY,Master,1,>150,11,>150,>150,>150,>150,>150,143
Wabash College(Private),IN,Master,2,>150,12,>150,>150,>150,>150,>150,>150
